Metric,Value
WACC,0.06870072239983302
Beta,0.877
Cost of equity,0.08585000000000001
After-tax cost of debt,0.03489706996716343
Enterprise value (DCF),1276511263.8062334
Gordon terminal value,1430943219.5992002
Implied share price (DCF),24.333421145734558
Implied share price (exit multiple),23.286818180382628
Offer price,18.9
Upside vs offer,0.2874826003034159
